base_name,model,two_stems,shifts,overlap,enhancer,checkpoint,dry_wet,final_lufs
text_batched_generated,htdemucs,vocals,2,0.5,denoiser,dns64,0.15,-16.0
text_batched_generated,htdemucs,vocals,2,0.5,denoiser,dns64,0.35,-16.0
text_batched_generated,htdemucs,vocals,2,0.5,denoiser,dns64,0.35,-16.0
1.5b_text_generated,htdemucs,vocals,2,0.5,denoiser,dns64,0.35,-16.0
1.5b_text_generated,htdemucs,vocals,2,0.5,denoiser,dns64,0.35,-16.0
2p_goat_generated,htdemucs,vocals,2,0.5,denoiser,dns64,0.35,-16.0
7b_text_generated,htdemucs,vocals,2,0.5,denoiser,dns64,0.35,-16.0
text_generated_compiled,htdemucs,vocals,2,0.5,denoiser,dns64,0.35,-16.0
text_generated,htdemucs,vocals,2,0.5,denoiser,dns64,0.35,-16.0
text_batched_generated,htdemucs,vocals,2,0.5,denoiser,dns64,0.35,-16.0
text_batched_generated,htdemucs,vocals,2,0.5,denoiser,dns64,0.35,-16.0
text_batched_generated,htdemucs,vocals,2,0.5,denoiser,dns64,0.35,-16.0
text_batched_generated,htdemucs,vocals,2,0.5,denoiser,dns64,0.35,-16.0
1.5b_text_generated,htdemucs,vocals,2,0.5,denoiser,dns64,0.35,-16.0
2p_goat_generated,htdemucs,vocals,2,0.5,denoiser,dns64,0.35,-16.0
7b_text_generated,htdemucs,vocals,2,0.5,denoiser,dns64,0.35,-16.0
text_generated_compiled,htdemucs,vocals,2,0.5,denoiser,dns64,0.35,-16.0
sequential__text_generated,htdemucs,vocals,2,0.5,denoiser,dns64,0.35,-16.0
batched__text_batched_generated,htdemucs,vocals,2,0.5,denoiser,dns64,0.35,-16.0
no_seed__text_batched_generated,htdemucs,vocals,2,0.5,denoiser,dns64,0.35,-16.0
seed_42_run1__text_batched_generated,htdemucs,vocals,2,0.5,denoiser,dns64,0.35,-16.0
seed_42_run2__text_batched_generated,htdemucs,vocals,2,0.5,denoiser,dns64,0.35,-16.0
